,Unnamed: 0,AB,TI,year,SO,DT,PM,methods,MNCS,methods2
86,86,"The clinical high risk (CUR) period is a phase denoting a risk for overt psychosis during which subacute symptoms often appear, and cognitive functions may deteriorate. To compare biological indices during this phase with those during first episode schizophrenia, we cross-sectionally examined sex- and age-matched clinical high risk (CHR, n=21), first episode schizophrenia patients (FESZ, n=20) and matched healthy controls (HC, n=25) on oddball and novelty paradigms and assessed the N100, P200, P3a and P3b as indices of perceptual, attentional and working memory processes. To our knowledge, this is the only such comparison using all of these event-related potentials (ERPs) in two paradigms. We hypothesized that the ERPs would differentiate between the three groups and allow prediction of a diagnostic group. The majority of ERPs were significantly affected in CUR and FESZ compared with controls, with similar effect sizes. Nonetheless, in logistic regression, only the P3a and N100 distinguished CUR and FESZ from healthy controls, suggesting that ERPs not associated with an overt task might be more sensitive to prediction of group membership. (C) 2014 Elsevier Ireland Ltd. All rights reserved.",Clinical high risk and first episode schizophrenia: Auditory event-related potentials,2015,PSYCHIATRY RESEARCH-NEUROIMAGING,Article,25557063,['nomethod'],2.0657277,nomethod
87,87,"Grey matter volume and cortical thickness are [he two most widely used measures for detecting grey matter morphometric changes in various diseases such as schizophrenia. However, these two measures only share partial overlapping regions in identifying morphometric changes. Few studies have investigated the contributions of the potential factors to the differences of grey matter volume and cortical thickness. To investigate this question, 3 T magnetic resonance images from 22 patients with schizophrenia and 20 well-matched healthy controls were chosen for analyses. Grey matter volume and cortical thickness were measured by VBM and Freesurfer. Grey matter volume results were then rendered onto the surface template of Freesurfer to compare the differences from cortical thickness in anatomical locations. Discrepancy regions of the grey matter volume and thickness where grey matter volume significantly decreased but without corresponding evidence of cortical thinning involved the rostral middle frontal, precentral, lateral occipital and superior frontal gyri. Subsequent region-of-interest analysis demonstrated that changes in surface area, grey/white matter intensity contrast and curvature accounted for the discrepancies. Our results suggest that the differences between grey matter volume and thickness could be jointly driven by surface area, grey/white matter intensity contrast and curvature. (C) 2014 Elsevier Ireland Ltd. All rights reserved.","Comparison of grey matter volume and thickness for analysing cortical changes in chronic schizophrenia: A matter of surface area, grey/white matter intensity contrast, and curvature",2015,PSYCHIATRY RESEARCH-NEUROIMAGING,Article,25595222,['MRI'],2.34741784,MRI
88,88,"Subjective well-being is assumed to be distributed in the hedonic hotspots of subcortical and cortical structures. However, the precise neural correlates underlying this construct, especially how it is maintained during the resting state, are still largely unknown. Here, we explored the neural basis of subjective well-being by correlating the regional fractional amplitude of low frequency fluctuations (fALFF) with the self-reported subjective well-being of healthy individuals. Behaviorally, we demonstrated that subjective well-being contained two related but distinct components: cognitive and affective well-being. Neurally, we showed that the fALFF in the bilateral posterior superior temporal gyrus (pSTG), right posterior mid-cingulate cortex (pMCC), right thalamus, left postcentral gyrus (PCG), right lingual gyrus, and left planum temporale (PT) positively predicted cognitive well-being, whereas the fALFF in the bilateral superior frontal gyrus (SFG), right orbitofrontal cortex (OFC), and left inferior temporal gyrus (ITG) negatively predicted cognitive well-being. In contrast, only the fALFF in the right amygdala reliably predicted affective well-being. Furthermore, emotional intelligence partiallymediated the effects of the right pSTG and thalamus on cognitive well-being, as well as the effect of the right amygdala on affectivewell-being. In summary, we provide the first evidence that spontaneous brain activity inmultiple regions associated with sensation, social perception, cognition, and emotion contributes to cognitive well-being, whereas the spontaneous brain activity in only one emotion-related region contributes to affective well-being, suggesting that the spontaneous activity of the human brain reflect the efficiency of subjective well-being. (C) 2014 Elsevier Inc. All rights reserved.",Neural correlates of the happy life: The amplitude of spontaneous low frequency fluctuations predicts subjective well-being,2015,NEUROIMAGE,Article,25463465,['rsFMRI'],1.78,rsFMRI
89,89,"Blood oxygen level dependent (BOLD) spontaneous signals from resting-state (RS) brains have typically been characterized by low-pass filtered timeseries at frequencies <= 0.1 Hz, and studies of these low-frequency fluctuations have contributed exceptional understanding of the baseline functions of our brain. Very recently, emerging evidence has demonstrated that spontaneous activities may persist in higher frequency bands (even up to 0.8 Hz), while presenting less variable network patterns across the scan duration. However, as an indirect measure of neuronal activity, BOLD signal results from an inherently slow hemodynamic process, which in fact might be too slow to accommodate the observed high-frequency functional connectivity (FC). To examine whether the observed high-frequency spontaneous FC originates from BOLD contrast, we collected RS data as a function of echo time (TE). Here we focus on two specific resting state networks - the default-mode network (DMN) and executive control network (ECN), and the major findings are fourfold: (1) we observed BOLD-like linear TE-dependence in the spontaneous activity at frequency bands up to 0.5 Hz (the maximum frequency that can be resolved with TR=1 s), supporting neural relevance of the RSFC at a higher frequency range; (2) conventional models of hemodynamic response functions must be modified to support resting state BOLD contrast, especially at higher frequencies; (3) there are increased fractions of non-BOLD-like contributions to the RSFC above the conventional 0.1 Hz (non-BOLD/BOLD contrast at 0.4-0.5 Hz is similar to 4 times that at <0.1 Hz); and (4) the spatial patterns of RSFC are frequency-dependent. Possible mechanisms underlying the present findings and technical concerns regarding RSFC above 0.1 Hz are discussed. (C) 2014 Elsevier Inc. All rights reserved.",BOLD fractional contribution to resting-state functional connectivity above 0.1 Hz,2015,NEUROIMAGE,Article,25497686,['rsFMRI'],2.13,rsFMRI
90,90,"Although the connectivity of hippocampal circuits has been extensively studied, the way in which these connections give rise to large-scale dynamic network activity remains unknown. Here, we used optogenetic fMRI to visualize the brain network dynamics evoked by different frequencies of stimulation of two distinct neuronal populations within dorsal and intermediate hippocampus. Stimulation of excitatory cells in intermediate hippocampus caused widespread cortical and subcortical recruitment at high frequencies, whereas stimulation in dorsal hippocampus led to activity primarily restricted to hippocampus across all frequencies tested. Sustained hippocampal responses evoked during high-frequency stimulation of either location predicted seizure-like after discharges in video-EEG experiments, while the widespread activation evoked by high-frequency stimulation of intermediate hippocampus predicted behavioral seizures. A negative BOLD signal observed in dentate gyrus during dorsal, but not intermediate, hippocampus stimulation is proposed to underlie the mechanism for these differences. Collectively, our results provide insight into the dynamic function of hippocampal networks and their role in seizures. (C) 2014 Elsevier Inc. All rights reserved.","Optogenetic fMRI reveals distinct, frequency-dependent networks recruited by dorsal and intermediate hippocampus stimulations",2015,NEUROIMAGE,Article,25462689,"['EEG', 'fMRI']",1.71,EEG
90,90,"Although the connectivity of hippocampal circuits has been extensively studied, the way in which these connections give rise to large-scale dynamic network activity remains unknown. Here, we used optogenetic fMRI to visualize the brain network dynamics evoked by different frequencies of stimulation of two distinct neuronal populations within dorsal and intermediate hippocampus. Stimulation of excitatory cells in intermediate hippocampus caused widespread cortical and subcortical recruitment at high frequencies, whereas stimulation in dorsal hippocampus led to activity primarily restricted to hippocampus across all frequencies tested. Sustained hippocampal responses evoked during high-frequency stimulation of either location predicted seizure-like after discharges in video-EEG experiments, while the widespread activation evoked by high-frequency stimulation of intermediate hippocampus predicted behavioral seizures. A negative BOLD signal observed in dentate gyrus during dorsal, but not intermediate, hippocampus stimulation is proposed to underlie the mechanism for these differences. Collectively, our results provide insight into the dynamic function of hippocampal networks and their role in seizures. (C) 2014 Elsevier Inc. All rights reserved.","Optogenetic fMRI reveals distinct, frequency-dependent networks recruited by dorsal and intermediate hippocampus stimulations",2015,NEUROIMAGE,Article,25462689,"['EEG', 'fMRI']",1.71,fMRI
91,91,"Animal approach-avoidance conflict paradigms have been used extensively to operationalize anxiety, quantify the effects of anxiolytic agents, and probe the neural basis of fear and anxiety. Results from human neuroimaging studies support that a frontal-striatal-amygdala neural circuitry is important for approach-avoidance learning. However, the neural basis of decision-making is much less clear in this context. Thus, we combined a recently developed human approach-avoidance paradigm with functional magnetic resonance imaging (fMRI) to identify neural substrates underlying approach-avoidance conflict decision-making. Fifteen healthy adults completed the approach-avoidance conflict (AAC) paradigm during fMRI. Analyses of variance were used to compare conflict to nonconflict (avoid-threat and approach-reward) conditions and to compare level of reward points offered during the decision phase. Trial-by-trial amplitude modulation analyses were used to delineate brain areas underlying decision-making in the context of approach/avoidance behavior. Conflict trials as compared to the nonconflict trials elicited greater activation within bilateral anterior cingulate cortex, anterior insula, and caudate, as well as right dorsolateral prefrontal cortex (PFC). Right caudate and lateral PFC activation was modulated by level of reward offered. Individuals who showed greater caudate activation exhibited less approach behavior. On a trial-by-trial basis, greater right lateral PFC activation related to less approach behavior. Taken together, results suggest that the degree of activation within prefrontal-striatal-insula circuitry determines the degree of approach versus avoidance decision-making. Moreover, the degree of caudate and lateral PFC activation related to individual differences in approach-avoidance decision-making. Therefore, the approach-avoidance conflict paradigm is ideally suited to probe anxiety-related processing differences during approach-avoidance decision-making. Hum Brain Mapp 36:449-462, 2015. (c) 2014 Wiley Periodicals, Inc.",Neural Substrates of Approach-Avoidance Conflict Decision-Making,2015,HUMAN BRAIN MAPPING,Article,25224633,['fMRI'],2.13,fMRI
92,92,"Are symbolic and nonsymbolic numbers coded differently in the brain? Neuronal data indicate that overlap in numerical tuning curves is a hallmark of the approximate, analogue nature of nonsymbolic number representation. Consequently, patterns of fMRI activity should be more correlated when the representational overlap between two numbers is relatively high. In bilateral intraparietal sulci (IPS), for nonsymbolic numbers, the pattern of voxelwise correlations between pairs of numbers mirrored the amount of overlap in their tuning curves under the assumption of approximate, analogue coding. In contrast, symbolic numbers showed a flat field of modest correlations more consistent with discrete, categorical representation (no systematic overlap between numbers). Directly correlating activity patterns for a given number across formats (e.g., the numeral 6 with six dots) showed no evidence of shared symbolic and nonsymbolic number-specific representations. Overall (univariate) activity in bilateral IPS was well fit by the log of the number being processed for both nonsymbolic and symbolic numbers. IPS activity is thus sensitive to numerosity regardless of format; however, the nature in which symbolic and nonsymbolic numbers are encoded is fundamentally different. Hum Brain Mapp 36:475-488, 2015. (c) 2014 Wiley Periodicals, Inc.",Qualitatively Different Coding of Symbolic and Nonsymbolic Numbers in the Human Brain,2015,HUMAN BRAIN MAPPING,Article,25238646,['fMRI'],2.5,fMRI
93,93,"We propose an echo planar imaging (EPI) distortion correction method (DR-BUDDI), specialized for diffusion MRI, which uses data acquired twice with reversed phase encoding directions, often referred to as blip-up blip-down acquisitions. DR-BUDDI can incorporate information from an undistorted structural MRI and also use diffusion-weighted images (DWI) to guide the registration, improving the quality of the registration in the presence of large deformations and in white matter regions. DR-BUDDI does not require the transformations for correcting blip-up and blip-down images to be the exact inverse of each other. Imposing the theoretical ""blip-up blipdown distortion symmetry"" may not be appropriate in the presence of common clinical scanning artifacts such as motion, ghosting, Gibbs ringing, vibrations, and low signal-to-noise. The performance of DR-BUDDI is evaluated with several data sets and compared to other existing blip-up blip-down correction approaches. The proposed method is robust and generally outperforms existing approaches. The inclusion of the DWIs in the correction process proves to be important to obtain a reliable correction of distortions in the brain stem. Methods that do not use DWIs may produce a visually appealing correction of the non-diffusion weighted images, but the directionally encoded color maps computed from the tensor reveal an abnormal anatomy of the white matter pathways. (C) 2014 Elsevier Inc. All rights reserved.",DR-BUDDI (Diffeomorphic Registration for Blip-Up blip-Down Diffusion Imaging) method for correcting echo planar imaging distortions,2015,NEUROIMAGE,Article,25433212,"['DTI', 'EPI', 'MRI']",1.98,DTI
93,93,"We propose an echo planar imaging (EPI) distortion correction method (DR-BUDDI), specialized for diffusion MRI, which uses data acquired twice with reversed phase encoding directions, often referred to as blip-up blip-down acquisitions. DR-BUDDI can incorporate information from an undistorted structural MRI and also use diffusion-weighted images (DWI) to guide the registration, improving the quality of the registration in the presence of large deformations and in white matter regions. DR-BUDDI does not require the transformations for correcting blip-up and blip-down images to be the exact inverse of each other. Imposing the theoretical ""blip-up blipdown distortion symmetry"" may not be appropriate in the presence of common clinical scanning artifacts such as motion, ghosting, Gibbs ringing, vibrations, and low signal-to-noise. The performance of DR-BUDDI is evaluated with several data sets and compared to other existing blip-up blip-down correction approaches. The proposed method is robust and generally outperforms existing approaches. The inclusion of the DWIs in the correction process proves to be important to obtain a reliable correction of distortions in the brain stem. Methods that do not use DWIs may produce a visually appealing correction of the non-diffusion weighted images, but the directionally encoded color maps computed from the tensor reveal an abnormal anatomy of the white matter pathways. (C) 2014 Elsevier Inc. All rights reserved.",DR-BUDDI (Diffeomorphic Registration for Blip-Up blip-Down Diffusion Imaging) method for correcting echo planar imaging distortions,2015,NEUROIMAGE,Article,25433212,"['DTI', 'EPI', 'MRI']",1.98,EPI
93,93,"We propose an echo planar imaging (EPI) distortion correction method (DR-BUDDI), specialized for diffusion MRI, which uses data acquired twice with reversed phase encoding directions, often referred to as blip-up blip-down acquisitions. DR-BUDDI can incorporate information from an undistorted structural MRI and also use diffusion-weighted images (DWI) to guide the registration, improving the quality of the registration in the presence of large deformations and in white matter regions. DR-BUDDI does not require the transformations for correcting blip-up and blip-down images to be the exact inverse of each other. Imposing the theoretical ""blip-up blipdown distortion symmetry"" may not be appropriate in the presence of common clinical scanning artifacts such as motion, ghosting, Gibbs ringing, vibrations, and low signal-to-noise. The performance of DR-BUDDI is evaluated with several data sets and compared to other existing blip-up blip-down correction approaches. The proposed method is robust and generally outperforms existing approaches. The inclusion of the DWIs in the correction process proves to be important to obtain a reliable correction of distortions in the brain stem. Methods that do not use DWIs may produce a visually appealing correction of the non-diffusion weighted images, but the directionally encoded color maps computed from the tensor reveal an abnormal anatomy of the white matter pathways. (C) 2014 Elsevier Inc. All rights reserved.",DR-BUDDI (Diffeomorphic Registration for Blip-Up blip-Down Diffusion Imaging) method for correcting echo planar imaging distortions,2015,NEUROIMAGE,Article,25433212,"['DTI', 'EPI', 'MRI']",1.98,MRI
94,94,"Diffusion magnetic resonance imaging (MRI) methods for axon diameter mapping benefit from higher maximum gradient strengths than are currently available on commercial human scanners. Using a dedicated high-gradient 3 T human MRI scanner with a maximum gradient strength of 300 mT/m, we systematically studied the effect of gradient strength on in vivo axon diameter and density estimates in the human corpus callosum. Pulsed gradient spin echo experiments were performed in a single scan session lasting approximately 2 h on each of three human subjects. The data were then divided into subsets with maximum gradient strengths of 77, 145, 212, and 293 mT/m and diffusion times encompassing short (16 and 25 ms) and long (60 and 94 ms) diffusion time regimes. A three-compartment model of intra-axonal diffusion, extra-axonal diffusion, and free diffusion in cerebrospinal fluid was fitted to the data using a Markov chain Monte Carlo approach. For the acquisition parameters, model, and fitting routine used in our study, it was found that higher maximum gradient strengths decreased the mean axon diameter estimates by two to three fold and decreased the uncertainty in axon diameter estimates by more than half across the corpus callosum. The exclusive use of longer diffusion times resulted in axon diameter estimates that were up to two times larger than those obtained with shorter diffusion times. Axon diameter and density maps appeared less noisy and showed improved contrast between different regions of the corpus callosum with higher maximum gradient strength. Known differences in axon diameter and density between the genu, body, and splenium of the corpus callosum were preserved and became more reproducible at higher maximum gradient strengths. Our results suggest that an optimal q-space sampling scheme for estimating in vivo axon diameters should incorporate the highest possible gradient strength. The improvement in axon diameter and density estimates that we demonstrate from increasing maximum gradient strength will inform protocol development and encourage the adoption of higher maximum gradient strengths for use in commercial human scanners. (C) 2014 Elsevier Inc. All rights reserved.",The impact of gradient strength on in vivo diffusion MRI estimates of axon diameter,2015,NEUROIMAGE,Article,25498429,"['DTI', 'MRI']",1.78,DTI
94,94,"Diffusion magnetic resonance imaging (MRI) methods for axon diameter mapping benefit from higher maximum gradient strengths than are currently available on commercial human scanners. Using a dedicated high-gradient 3 T human MRI scanner with a maximum gradient strength of 300 mT/m, we systematically studied the effect of gradient strength on in vivo axon diameter and density estimates in the human corpus callosum. Pulsed gradient spin echo experiments were performed in a single scan session lasting approximately 2 h on each of three human subjects. The data were then divided into subsets with maximum gradient strengths of 77, 145, 212, and 293 mT/m and diffusion times encompassing short (16 and 25 ms) and long (60 and 94 ms) diffusion time regimes. A three-compartment model of intra-axonal diffusion, extra-axonal diffusion, and free diffusion in cerebrospinal fluid was fitted to the data using a Markov chain Monte Carlo approach. For the acquisition parameters, model, and fitting routine used in our study, it was found that higher maximum gradient strengths decreased the mean axon diameter estimates by two to three fold and decreased the uncertainty in axon diameter estimates by more than half across the corpus callosum. The exclusive use of longer diffusion times resulted in axon diameter estimates that were up to two times larger than those obtained with shorter diffusion times. Axon diameter and density maps appeared less noisy and showed improved contrast between different regions of the corpus callosum with higher maximum gradient strength. Known differences in axon diameter and density between the genu, body, and splenium of the corpus callosum were preserved and became more reproducible at higher maximum gradient strengths. Our results suggest that an optimal q-space sampling scheme for estimating in vivo axon diameters should incorporate the highest possible gradient strength. The improvement in axon diameter and density estimates that we demonstrate from increasing maximum gradient strength will inform protocol development and encourage the adoption of higher maximum gradient strengths for use in commercial human scanners. (C) 2014 Elsevier Inc. All rights reserved.",The impact of gradient strength on in vivo diffusion MRI estimates of axon diameter,2015,NEUROIMAGE,Article,25498429,"['DTI', 'MRI']",1.78,MRI
95,95,"Growing interest has developed in hippocampal subfield volumetry over the past few years and an increasing number of studies use the automatic segmentation algorithm implemented in FreeSurfer. However, this approach has not been validated on standard resolution T1-weighted magnetic resonance (MR) as used in most studies. We aimed at comparing hippocampal subfield segmentation using FreeSurfer on standard T1-weighted images versus manual delineation on dedicated high-resolution hippocampal scans. Hippocampal subfields were segmented in 133 individuals including 98 cognitively normal controls aged 19-84 years, 17 mild cognitive impairment and 18 Alzheimer's disease (AD) patients using both methods. Intraclass correlation coefficients (ICC) and Bland-Altman plots were computed to assess the consistency between both methods, and the effects of age and diagnosis were assessed from both measures. Low to moderate ICC (0.31-0.74) were found for the subiculum and other subfields as well as for the whole hippocampus, and the correlations were very low for cornu ammonis (CA)1 (<0.1). FreeSurfer CA1 volume estimates were found to be much lower than those obtained from manual segmentation, and this bias was proportional to the volume of this structure so that no effect of age or AD could be detected on FreeSurfer CA1 volumes. This study points to the differences in the anatomic definition of the subfields between FreeSurfer and manual delineation, especially for CA1, and provides clue for improvement of this automatic technique for potential clinical application on standard T1-weighted MR. Hum Brain Mapp 36:463-474, 2015. (c) 2014 Wiley Periodicals, Inc.",Effects of Age and Alzheimer's Disease on Hippocampal Subfields: Comparison Between Manual and FreeSurfer Volumetry,2015,HUMAN BRAIN MAPPING,Article,25231681,['nomethod'],2.5,nomethod
96,96,"Multimodality based methods have shown great advantages in classification of Alzheimer's disease (AD) and its prodromal stage, that is, mild cognitive impairment (MCI). Recently, multitask feature selection methods are typically used for joint selection of common features across multiple modalities. However, one disadvantage of existing multimodality based methods is that they ignore the useful data distribution information in each modality, which is essential for subsequent classification. Accordingly, in this paper we propose a manifold regularized multitask feature learning method to preserve both the intrinsic relatedness among multiple modalities of data and the data distribution information in each modality. Specifically, we denote the feature learning on each modality as a single task, and use group-sparsity regularizer to capture the intrinsic relatedness among multiple tasks (i.e., modalities) and jointly select the common features from multiple tasks. Furthermore, we introduce a new manifold-based Laplacian regularizer to preserve the data distribution information from each task. Finally, we use the multikernel support vector machine method to fuse multimodality data for eventual classification. Conversely, we also extend our method to the semisupervised setting, where only partial data are labeled. We evaluate our method using the baseline magnetic resonance imaging (MRI), fluorodeoxyglucose positron emission tomography (FDG-PET), and cerebrospinal fluid (CSF) data of subjects from AD neuroimaging initiative database. The experimental results demonstrate that our proposed method can not only achieve improved classification performance, but also help to discover the disease-related brain regions useful for disease diagnosis. Hum Brain Mapp 36:489-507, 2015. (c) 2014 Wiley Periodicals, Inc.",Manifold Regularized Multitask Feature Learning for Multimodality Disease Classification,2015,HUMAN BRAIN MAPPING,Article,25277605,"['MRI', 'PET']",2.45,MRI
96,96,"Multimodality based methods have shown great advantages in classification of Alzheimer's disease (AD) and its prodromal stage, that is, mild cognitive impairment (MCI). Recently, multitask feature selection methods are typically used for joint selection of common features across multiple modalities. However, one disadvantage of existing multimodality based methods is that they ignore the useful data distribution information in each modality, which is essential for subsequent classification. Accordingly, in this paper we propose a manifold regularized multitask feature learning method to preserve both the intrinsic relatedness among multiple modalities of data and the data distribution information in each modality. Specifically, we denote the feature learning on each modality as a single task, and use group-sparsity regularizer to capture the intrinsic relatedness among multiple tasks (i.e., modalities) and jointly select the common features from multiple tasks. Furthermore, we introduce a new manifold-based Laplacian regularizer to preserve the data distribution information from each task. Finally, we use the multikernel support vector machine method to fuse multimodality data for eventual classification. Conversely, we also extend our method to the semisupervised setting, where only partial data are labeled. We evaluate our method using the baseline magnetic resonance imaging (MRI), fluorodeoxyglucose positron emission tomography (FDG-PET), and cerebrospinal fluid (CSF) data of subjects from AD neuroimaging initiative database. The experimental results demonstrate that our proposed method can not only achieve improved classification performance, but also help to discover the disease-related brain regions useful for disease diagnosis. Hum Brain Mapp 36:489-507, 2015. (c) 2014 Wiley Periodicals, Inc.",Manifold Regularized Multitask Feature Learning for Multimodality Disease Classification,2015,HUMAN BRAIN MAPPING,Article,25277605,"['MRI', 'PET']",2.45,PET
97,97,"Thalamic atrophy is known to be one of the most important predictors for clinical dysfunction in multiple sclerosis (MS). As the thalamus is highly connected to many cortical areas, this suggests that thalamic atrophy is associated with disruption of cortical functional networks. We investigated this thalamo-cortical system to explain the presence of physical and cognitive problems in MS. Functional magnetic resonance imaging (fMRI) and magnetoencephalography (MEG) were performed in 86 MS patients and 21 healthy subjects. We computed cortical functional networks for fMRI and MEG by respectively the Pearson's correlation coefficient and the phase lag index using the same automated anatomical labeling atlas for both modalities. Thalamo-cortical functional connectivity was only estimated using fMRI. We computed conventional network metrics such as clustering coefficient and path length and analyzed the minimum spanning tree (MST), a subnetwork and backbone of the original network. MS patients showed reduced thalamic volumes and increased thalamo-cortical connectivity. MEG cortical functional networks showed a lower level of integration in MS in terms of the MST, whereas fMRI cortical networks did not differ between groups. Lower integration of MEG cortical functional networks was both related to thalamic atrophy as well as to increased thalamo-cortical functional connectivity in fMRI and to worse cognitive and clinical status. This study demonstrated for the first time that thalamic atrophy is associated with global disruption of cortical functional networks in MS and this global disruption of network activity was related to worse cognitive and clinical function in MS. Hum Brain Mapp 36:603-618, 2015. (c) 2014 Wiley Periodicals, Inc.","Functional Brain Networks: Linking Thalamic Atrophy to Clinical Disability in Multiple Sclerosis, A Multimodal fMRI and MEG Study",2015,HUMAN BRAIN MAPPING,Article,25293505,"['fMRI', 'MEG']",1.8,fMRI
97,97,"Thalamic atrophy is known to be one of the most important predictors for clinical dysfunction in multiple sclerosis (MS). As the thalamus is highly connected to many cortical areas, this suggests that thalamic atrophy is associated with disruption of cortical functional networks. We investigated this thalamo-cortical system to explain the presence of physical and cognitive problems in MS. Functional magnetic resonance imaging (fMRI) and magnetoencephalography (MEG) were performed in 86 MS patients and 21 healthy subjects. We computed cortical functional networks for fMRI and MEG by respectively the Pearson's correlation coefficient and the phase lag index using the same automated anatomical labeling atlas for both modalities. Thalamo-cortical functional connectivity was only estimated using fMRI. We computed conventional network metrics such as clustering coefficient and path length and analyzed the minimum spanning tree (MST), a subnetwork and backbone of the original network. MS patients showed reduced thalamic volumes and increased thalamo-cortical connectivity. MEG cortical functional networks showed a lower level of integration in MS in terms of the MST, whereas fMRI cortical networks did not differ between groups. Lower integration of MEG cortical functional networks was both related to thalamic atrophy as well as to increased thalamo-cortical functional connectivity in fMRI and to worse cognitive and clinical status. This study demonstrated for the first time that thalamic atrophy is associated with global disruption of cortical functional networks in MS and this global disruption of network activity was related to worse cognitive and clinical function in MS. Hum Brain Mapp 36:603-618, 2015. (c) 2014 Wiley Periodicals, Inc.","Functional Brain Networks: Linking Thalamic Atrophy to Clinical Disability in Multiple Sclerosis, A Multimodal fMRI and MEG Study",2015,HUMAN BRAIN MAPPING,Article,25293505,"['fMRI', 'MEG']",1.8,MEG
98,98,"Objectives: Anticipatory processes prepare the organism for upcoming experiences. The aim of this study was to investigate neural responses related to anticipation and processing of painful stimuli occurring with different levels of uncertainty. Experimental design: Twenty-five participants (13 females) took part in an electroencephalography and functional magnetic resonance imaging (fMRI) experiment at separate times. A visual cue announced the occurrence of an electrical painful or nonpainful stimulus, delivered with certainty or uncertainty (50% chance), at some point during the following 15 s. Principal observations: During the first 2 s of the anticipation phase, a strong effect of uncertainty was reflected in a pronounced frontal stimulus-preceding negativity (SPN) and increased fMRI activation in higher visual processing areas. In the last 2 s before stimulus delivery, we observed stimulus-specific preparatory processes indicated by a centroparietal SPN and posterior insula activation that was most pronounced for the certain pain condition. Uncertain anticipation was associated with attentional control processes. During stimulation, the results revealed that unexpected painful stimuli produced the strongest activation in the affective pain processing network and a more pronounced offset-P2. Conclusions: Our results reflect that during early anticipation uncertainty is strongly associated with affective mechanisms and seems to be a more salient event compared to certain anticipation. During the last 2 s before stimulation, attentional control mechanisms are initiated related to the increased salience of uncertainty. Furthermore, stimulus-specific preparatory mechanisms during certain anticipation also shaped the response to stimulation, underlining the adaptive value of stimulus-targeted preparatory activity which is less likely when facing an uncertain event. Hum Brain Mapp 36:744-755, 2015. (c) 2014 Wiley Periodicals, Inc.",Uncertainty During Pain Anticipation: The Adaptive Value of Preparatory Processes,2015,HUMAN BRAIN MAPPING,Article,25324216,"['EEG', 'fMRI']",1.94,EEG
98,98,"Objectives: Anticipatory processes prepare the organism for upcoming experiences. The aim of this study was to investigate neural responses related to anticipation and processing of painful stimuli occurring with different levels of uncertainty. Experimental design: Twenty-five participants (13 females) took part in an electroencephalography and functional magnetic resonance imaging (fMRI) experiment at separate times. A visual cue announced the occurrence of an electrical painful or nonpainful stimulus, delivered with certainty or uncertainty (50% chance), at some point during the following 15 s. Principal observations: During the first 2 s of the anticipation phase, a strong effect of uncertainty was reflected in a pronounced frontal stimulus-preceding negativity (SPN) and increased fMRI activation in higher visual processing areas. In the last 2 s before stimulus delivery, we observed stimulus-specific preparatory processes indicated by a centroparietal SPN and posterior insula activation that was most pronounced for the certain pain condition. Uncertain anticipation was associated with attentional control processes. During stimulation, the results revealed that unexpected painful stimuli produced the strongest activation in the affective pain processing network and a more pronounced offset-P2. Conclusions: Our results reflect that during early anticipation uncertainty is strongly associated with affective mechanisms and seems to be a more salient event compared to certain anticipation. During the last 2 s before stimulation, attentional control mechanisms are initiated related to the increased salience of uncertainty. Furthermore, stimulus-specific preparatory mechanisms during certain anticipation also shaped the response to stimulation, underlining the adaptive value of stimulus-targeted preparatory activity which is less likely when facing an uncertain event. Hum Brain Mapp 36:744-755, 2015. (c) 2014 Wiley Periodicals, Inc.",Uncertainty During Pain Anticipation: The Adaptive Value of Preparatory Processes,2015,HUMAN BRAIN MAPPING,Article,25324216,"['EEG', 'fMRI']",1.94,fMRI
