Title ,PMID,Point,MNCS,Rank,Percent,Year,Journal
Intra-Aneurysmal Pressure and Flow Changes Induced by Flow Diverters: Relation to Aneurysm Size and,23019173,2623,2.32,501,91%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Incidental Thyroid Nodules on CT: Evaluation of 2 Risk-Categorization Methods for Work-Up of Nodules,23557957,2625,2.32,501,91%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
"Diagnostic examination performance by using microvascular leakage, cerebral blood volume, and blood",20625709,5312,2.316960148,511,91%,2011,NEURORADIOLOGY
Temporoparietal MR Imaging Measures of Atrophy in Subjects with Mild Cognitive Impairment That Predi,19112067,1373,2.313432836,512,91%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
"[C-11]Methionine PET, histopathology, and survival in primary brain tumors and recurrence",16908552,400,2.301587302,513,91%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Procedural morbidity and mortality of elective coil treatment of unruptured intracranial aneurysms,16971613,427,2.301587302,513,91%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Subtracted 3D CT angiography for evaluation of internal carotid artery aneurysms: Comparison with co,16775292,439,2.301587302,513,91%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Optimal Virtual Monochromatic Images for Evaluation of Normal Tissues and Head and Neck Cancer Using,26021623,3303,2.300884956,516,91%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Glioma: Application of Histogram Analysis of Pharmacokinetic Parameters from T1-Weighted Dynamic Con,24384119,2968,2.3,517,91%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Discriminant analysis to classify glioma grading using dynamic contrast-enhanced MRI and immunohisto,21541688,5417,2.290679305,518,91%,2012,NEURORADIOLOGY
Temporal Lobe Epilepsy with Amygdala Enlargement: A Morphologic and Functional Study,22304227,4264,2.287166455,519,91%,2014,JOURNAL OF NEUROIMAGING
Establishing Magnetic Resonance Images Orientation for the EADC-ADNI Manual Hippocampal Segmentation,24279479,4265,2.287166455,519,91%,2014,JOURNAL OF NEUROIMAGING
Correlation between pathology and neuromelanin MR imaging in Parkinson's disease and dementia with L,23673875,5552,2.281368821,521,91%,2013,NEURORADIOLOGY
MRI of intracranial vertebral artery dissection: evaluation of intramural haematoma using a black bl,23619699,5556,2.281368821,521,91%,2013,NEURORADIOLOGY
Is general anaesthesia preferable to conscious sedation in the treatment of acute ischaemic stroke w,22922866,5567,2.281368821,521,91%,2013,NEURORADIOLOGY
Stents and flow diverters in the treatment of aneurysms: device deformation in vivo may alter porosi,22895818,5571,2.281368821,521,91%,2013,NEURORADIOLOGY
Comparison of hemodynamics of intracranial aneurysms between MR fluid dynamics using 3D cine phase-c,19967532,5204,2.276559865,525,91%,2010,NEURORADIOLOGY
Treatment of a wide-necked aneurysm of the anterior cerebral artery using two Enterprise stents in Y,19844699,5216,2.276559865,525,91%,2010,NEURORADIOLOGY
Functional MRI of the cervical spinal cord on 1.5 T with fingertapping: to what extent is it feasibl,17119948,4913,2.274881517,527,91%,2007,NEURORADIOLOGY
Subcallosal artery stroke: infarction of the fornix and the genu of the corpus callosum. The importa,17119948,5833,2.268041237,528,91%,2015,NEURORADIOLOGY
Reproducibility of Single-Subject Functional Connectivity Measurements,21273356,1928,2.26,529,91%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Using High-Resolution MR Imaging at 7T to Evaluate the Anatomy of the Midbrain Dopaminergic System,21183619,1943,2.26,529,91%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Metabolite findings in tumefactive demyelinating lesions utilizing short echo time proton magnetic r,17846183,735,2.259475219,531,91%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Mechanical disruption of thrombus following intravenous tissue plasminogen activator for ischemic st,17441833,3722,2.256944444,532,91%,2007,JOURNAL OF NEUROIMAGING
Verbal working memory and atherosclerosis in patients with cardiovascular disease: An fMRI study,17608908,3725,2.256944444,532,91%,2007,JOURNAL OF NEUROIMAGING
Age-Related Trends in the Treatment and Outcomes of Ruptured Cerebral Aneurysms: A Study of the Nati,23124637,2615,2.25,534,91%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Head and Neck Tumors: Assessment of Perfusion-Related Parameters and Diffusion Coefficients Based on,22859281,2618,2.25,534,91%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Clopidogrel Hyper-Response and Bleeding Risk in Neurointerventional Procedures,23275598,2637,2.25,534,91%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Sex- and Age-Related Differences in Brain FDG Metabolism of Healthy Adults: An SPM Analysis,21332873,4086,2.24852071,537,91%,2012,JOURNAL OF NEUROIMAGING
Presurgical fMRI and DTI for the Prediction of Perioperative Motor and Language Deficits in Primary,26173383,4371,2.244389027,538,91%,2015,JOURNAL OF NEUROIMAGING
Comparison of Automated Brain Volume Measures obtained with NeuroQuant (R) and FreeSurfer,25727700,4373,2.244389027,538,91%,2015,JOURNAL OF NEUROIMAGING
Predictive Models Based on Support Vector Machines: Whole-Brain versus Regional Analysis of Structur,25291354,4374,2.244389027,538,91%,2015,JOURNAL OF NEUROIMAGING
Mean Diffusional Kurtosis in Patients with Glioma: Initial Results with a Fast Imaging Method in a C,25977481,3306,2.241887906,541,91%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
CT Angiography for Brain Death Diagnosis,19406767,1341,2.23880597,542,91%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Clinical and Angiographic Results of Coiling of 196 Very Small (<= 3 mm) Intracranial Aneurysms,19131407,1346,2.23880597,542,91%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Variability of Homotopic and Heterotopic Callosal Connectivity in Partial Agenesis of the Corpus Cal,19001538,1347,2.23880597,542,91%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
"MR Imaging of Orbital Inflammatory Syndrome, Orbital Cellulitis, and Orbital Lymphoid Lesions: The R",18842758,1351,2.23880597,542,91%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Does Diffusion-Weighted Imaging Represent the Ischemic Core? An Evidence-Based Systematic Review,19357385,1365,2.23880597,542,91%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Pituitary Adenomas Can Appear as Hypermetabolic Lesions in 18F-FDG PET Imaging,19453834,3912,2.23880597,542,91%,2010,JOURNAL OF NEUROIMAGING
A magnetization transfer MRI study of deep gray matter involvement in multiple sclerosis,17032378,3677,2.237521515,548,91%,2006,JOURNAL OF NEUROIMAGING
Voxel-based morphometric comparison between early- and late-onset mild Alzheimer's disease and asses,15709131,13,2.23,549,91%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Fiber density index correlates with reduced fractional anisotropy in white matter of patients with g,16219820,42,2.23,549,91%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Quantifying the Large-Scale Hemodynamics of Intracranial Aneurysms,23928142,2975,2.23,549,91%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Coil Occlusion of Wide-Neck Bifurcation Aneurysms Assisted by a Novel Intra- to Extra-Aneurysmatic N,24356676,2985,2.23,549,91%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
"Patterns of Brain Structural Changes in First-Contact, Antipsychotic Drug-Nai ve Patients with Schiz",23744689,2992,2.23,549,91%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Radiation exposure of patients in comprehensive computed tomography of the head in acute stroke,16971627,383,2.222222222,554,91%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Differences in complication rates among the centres in the SPACE study,18810400,5009,2.212051869,556,91%,2008,NEURORADIOLOGY
Angiographic CT with intravenous administration of contrast medium is a noninvasive option for follo,18246336,5016,2.212051869,556,91%,2008,NEURORADIOLOGY
Treatment of symptomatic high-grade intracranial stenoses with the balloon-expandable Pharos stent:,18438655,5036,2.212051869,556,91%,2008,NEURORADIOLOGY
Hemodynamics of Cerebral Aneurysm Initiation: The Role of Wall Shear Stress and Spatial Wall Shear S,21310860,1938,2.2,559,91%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Frequency and Location of Dilated Virchow-Robin Spaces in Elderly People: A Population-Based 3D MR I,21349956,1949,2.2,559,91%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
FLAIR Distal Hyperintense Vessels as a Marker of Perfusion-Diffusion Mismatch in Acute Stroke,23317412,4152,2.197802198,561,91%,2013,JOURNAL OF NEUROIMAGING
Diffusion Tensor Imaging of Basal Ganglia and Thalamus in Amyotrophic Lateral Sclerosis,22273090,4157,2.197802198,561,91%,2013,JOURNAL OF NEUROIMAGING
Percutaneous Vertebroplasty Is Not a Risk Factor for New Osteoporotic Compression Fractures: Results,20651016,1623,2.193913659,563,90%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Multiple Inflow Pulsed Arterial Spin-Labeling Reveals Delays in the Arterial Arrival Time in Minor S,20110375,1630,2.193913659,563,90%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Predictors of Surface Disruption with MR Imaging in Asymptomatic Carotid Artery Stenosis,19833801,1646,2.193913659,563,90%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Acute Necrotizing Encephalopathy in a Child during the 2009 Influenza A(H1N1) Pandemia: MR Imaging i,20231352,1666,2.193913659,563,90%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion tensor imaging (DTI) and tractography of the brachial plexus: feasibility and initial expe,20054685,5206,2.192242833,567,90%,2010,NEURORADIOLOGY
Vertebrobasilar dissection with subarachnoid hemorrhage: a retrospective study of 29 patients,15711986,4519,2.191780822,568,90%,2005,NEURORADIOLOGY
The relation between packing and reopening in coiled intracranial aneurysms: a prospective study,16136261,4527,2.191780822,568,90%,2005,NEURORADIOLOGY
Cognitive impairment after traumatic brain injury: a functional magnetic resonance imaging study usi,15973537,4530,2.191780822,568,90%,2005,NEURORADIOLOGY
Posterior reversible encephalopathy syndrome: a possible late interaction between cytotoxic agents a,15997391,4542,2.191780822,568,90%,2005,NEURORADIOLOGY
Time-of-flight magnetic resonance angiography in the follow-up of intracranial aneurysms treated wit,15983772,4549,2.191780822,568,90%,2005,NEURORADIOLOGY
MR tractography with diffusion tensor imaging in clinical routine,15838688,4551,2.191780822,568,90%,2005,NEURORADIOLOGY
Automated discrimination between very early Alzheimer disease and controls using an easy Z-score ima,17416830,731,2.186588921,574,90%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
A new covered Stent designed for intracranial vasculature: Application in the management of pseudoan,17846216,752,2.186588921,574,90%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Three-dimensional susceptibility-weighted imaging at 7 T using fractal-based quantitative analysis t,22903580,5564,2.186311787,576,90%,2013,NEURORADIOLOGY
Long-term clinical and radiological results of endovascular internal trapping in vertebral artery di,23149552,5565,2.186311787,576,90%,2013,NEURORADIOLOGY
Voxel-Based Analysis of Diffusion Tensor Imaging in Patients with Subcortical Vascular Cognitive Imp,20977535,3982,2.184087363,578,90%,2011,JOURNAL OF NEUROIMAGING
Diffusion Tensor Imaging of the Optic Tracts in Multiple Sclerosis: Association with Retinal Thinnin,20331501,3983,2.184087363,578,90%,2011,JOURNAL OF NEUROIMAGING
Gray Matter Alterations in First-Admission Adolescents with Schizophrenia,20572905,3996,2.184087363,578,90%,2011,JOURNAL OF NEUROIMAGING
WEB-DL Endovascular Treatment of Wide-Neck Bifurcation Aneurysms: Long-Term Results in a European Se,26228882,3305,2.182890855,581,90%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Silk Flow-Diverter Stent for the Treatment of Intracranial Aneurysms: A Series of 58 Patients with E,25376806,3309,2.182890855,581,90%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
What Is Meant by TICI?,23578670,2601,2.18,583,90%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Differentiation of Tumor Progression from Pseudoprogression in Patients with Posttreatment Glioblast,24676005,2976,2.17,584,90%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Metrics and Textural Features of MRI Diffusion to Improve Classification of Pediatric Posterior Foss,24309122,2979,2.17,584,90%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Imaging Findings in MR Imaging-Guided Focused Ultrasound Treatment for Patients with Essential Tremo,24371027,2981,2.17,584,90%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Pretreatment ADC Histogram Analysis Is a Predictive Imaging Biomarker for Bevacizumab Treatment but,24136647,2987,2.17,584,90%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Association between internal carotid artery dissection and arterial tortuosity,25326167,5832,2.164948454,588,90%,2015,NEURORADIOLOGY
Diffusion tensor imaging parameters' changes of cerebellar hemispheres in Parkinson's disease,25479963,5834,2.164948454,588,90%,2015,NEURORADIOLOGY
Angiography Reveals That Fluid-Attenuated Inversion Recovery Vascular Hyperintensities Are Due to Sl,19022866,1339,2.164179104,590,90%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Agenesis of the Corpus Callosum: An MR Imaging Analysis of Associated Abnormalities in the Fetus,18988682,1350,2.164179104,590,90%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion Tensor Imaging Shows Different Topographic Involvement of the Thalamus in Progressive Supr,19589886,1354,2.164179104,590,90%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
MR Imaging Features of Isolated Cortical Vein Thrombosis: Diagnosis and Follow-Up,19095790,1357,2.164179104,590,90%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Proton MR Spectroscopy Improves Discrimination between Tumor and Pseudotumoral Lesion in Solid Brain,19095788,1369,2.164179104,590,90%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Natural History of Acute Stroke due to Occlusion of the Middle Cerebral Artery and Intracranial Inte,24251821,4266,2.160101652,595,90%,2014,JOURNAL OF NEUROIMAGING
The Added Value of Apparent Diffusion Coefficient to Cerebral Blood Volume in the Preoperative Gradi,22207304,2276,2.16,596,90%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
"Correlations between Perfusion MR Imaging Cerebral Blood Volume, Microvessel Quantification, and Cli",22095961,2282,2.16,596,90%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Cerebral amyloid angiopathy-related inflammation: imaging findings and clinical outcome,24493378,5716,2.156057495,598,90%,2014,NEURORADIOLOGY
Diffusion-weighted MR imaging of viral encephalitis,16944118,4670,2.145922747,599,90%,2006,NEURORADIOLOGY
3D CT-based cephalometric analysis: 3D cephalometric theoretical concept and software,17009024,4685,2.145922747,599,90%,2006,NEURORADIOLOGY
Management of pseudoaneurysms in the intracranial segment of the internal carotid artery with covere,16944121,4704,2.145922747,599,90%,2006,NEURORADIOLOGY
Cerebral metabolic and structural alterations in hereditary spastic paraplegia with thin corpus call,17013586,4711,2.145922747,599,90%,2006,NEURORADIOLOGY
MR diffusion tensor imaging and fiber tracking in 5 spinal cord astrocytomas,16418387,422,2.142857143,603,90%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
The use of balloon-expandable stents in the management of intracranial arterial diseases: A 5-year s,16219843,105,2.14,604,90%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Risk Analysis of Unruptured Aneurysms Using Computational Fluid Dynamics Technology: Preliminary Res,21903914,1937,2.14,604,90%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Detection and Classification of Cranial Dural Arteriovenous Fistulas Using 4D-CT Angiography: Initia,20966056,1955,2.14,604,90%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
In Vivo Correlation of Tumor Blood Volume and Permeability with Histologic and Molecular Angiogenic,21071537,1960,2.14,604,90%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion-weighted magnetic resonance imaging of spinal infection and malignancy,15746229,3611,2.13963964,608,90%,2005,JOURNAL OF NEUROIMAGING
Perfusion imaging of brain tumors using arterial spin-labeling: Correlation with histopathologic vas,18184842,1033,2.13592233,609,90%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Language dysfunction after stroke and damage to white matter tracts evaluated using diffusion tensor,18039757,1048,2.13592233,609,90%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Clinical characteristics and MR imaging features of nonalcoholic Wernicke encephalopathy,18192344,1067,2.13592233,609,90%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Cerebral white matter damage in frontotemporal dementia assessed by diffusion tensor tractography,18379765,4999,2.135774218,612,90%,2008,NEURORADIOLOGY
Early and midterm results of complex cerebral aneurysms treated with Silk stent,22695740,5421,2.132701422,613,90%,2012,NEURORADIOLOGY
"The clot burden score, the Boston Acute Stroke Imaging Scale, the cerebral blood volume ASPECTS, and",21904832,5422,2.132701422,613,90%,2012,NEURORADIOLOGY
The Relationship between Normal Cerebral Perfusion Patterns and White Matter Lesion Distribution in,21447022,4083,2.130177515,615,90%,2012,JOURNAL OF NEUROIMAGING
Diffusion Tensor Imaging of Corpus Callosum Integrity in Multiple Sclerosis: Correlation with Diseas,21122007,4087,2.130177515,615,90%,2012,JOURNAL OF NEUROIMAGING
Impact of Time-to-Reperfusion on Outcome in Patients with Poor Collaterals,25376808,3307,2.123893805,617,90%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
The Computational Fluid Dynamics Rupture Challenge 2013-Phase I: Prediction of Rupture Status in Int,25500315,3310,2.123893805,617,90%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Non-Gaussian Analysis of Diffusion-Weighted MR Imaging in Head and Neck Squamous Cell Carcinoma: A F,20037133,1619,2.123142251,619,90%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Perfusion CT in Acute lschemic Stroke: A Qualitative and Quantitative Comparison of Deconvolution an,20581066,1628,2.123142251,619,90%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Proton magnetic resonance spectroscopy in school-aged autistic children,18304036,3773,2.123142251,619,90%,2008,JOURNAL OF NEUROIMAGING
Diffusion tensor tractography-based analysis of the pyramidal tract in patients with amyotrophic lat,18808655,3778,2.123142251,619,90%,2008,JOURNAL OF NEUROIMAGING
Prognostic value of CT angiography in patients with suspected vertebrobasilar ischemia,18190495,3786,2.123142251,619,90%,2008,JOURNAL OF NEUROIMAGING
Water Exchange across the Blood-Brain Barrier in Obstructive Sleep Apnea: An MRI Diffusion-Weighted,26333175,4375,2.119700748,624,89%,2015,JOURNAL OF NEUROIMAGING
Temporal Lobe Epilepsy with Unilateral Amygdala Enlargement: Morphometric MR Analysis with Clinical,24593820,4378,2.119700748,624,89%,2015,JOURNAL OF NEUROIMAGING
Quantification of Global Cerebral Atrophy in Multiple Sclerosis from 3T MRI Using SPM: The Role of M,25523616,4379,2.119700748,624,89%,2015,JOURNAL OF NEUROIMAGING
Usefulness of Proton and Phosphorus MR Spectroscopic Imaging for Early Diagnosis of Parkinson's Dise,24325203,4380,2.119700748,624,89%,2015,JOURNAL OF NEUROIMAGING
Jugular Venous Flow Abnormalities in Multiple Sclerosis Patients Compared to Normal Controls,25316522,4381,2.119700748,624,89%,2015,JOURNAL OF NEUROIMAGING
Frequency of Bilateral Hypertrophic Olivary Degeneration in a Large Retrospective Cohort,24716899,4383,2.119700748,624,89%,2015,JOURNAL OF NEUROIMAGING
Diffusion tensor imaging in Joubert syndrome,17898198,740,2.113702624,630,89%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
MR angiography of dural arteriovenous fistulas: Diagnosis and follow-up after treatment using a time,17494662,744,2.113702624,630,89%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Role of perfusion CT in glioma grading and comparison with conventional MR imaging features,17893216,747,2.113702624,630,89%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
"Dural arteriovenous fistulas with cortical venous drainage: Incidence, clinical presentation, and tr",17416815,762,2.113702624,630,89%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Angiographic follow-up of traumatic carotid cavernous fistulas treated with endovascular stent graft,17297009,776,2.113702624,630,89%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Treatment of Acute Vertebrobasilar Occlusion Using Thrombectomy with Stent Retrievers: Initial Exper,23124642,2628,2.11,635,89%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Correlation of MRI-Derived Apparent Diffusion Coefficients in Newly Diagnosed Gliomas with [F-18]-Fl,23079407,2638,2.11,635,89%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Correlation of quantitative sensorimotor tractography with clinical grade of cerebral palsy,20405112,5214,2.107925801,637,89%,2010,NEURORADIOLOGY
Preoperative Prognostic Value of MRI Findings in 108 Patients with Idiopathic Normal Pressure Hydroc,20405112,2967,2.1,638,89%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Generalized versus Patient-Specific Inflow Boundary Conditions in Computational Fluid Dynamics Simul,24651816,2978,2.1,638,89%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusional Kurtosis Imaging of the Developing Brain,24231848,2983,2.1,638,89%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Differential diagnosis of parkinsonian syndromes using F-18 fluorodeoxyglucose positron emission tom,23314836,5561,2.091254753,641,89%,2013,NEURORADIOLOGY
"The persistent trigeminal artery: development, imaging anatomy, variants, and associated vascular pa",22170080,5566,2.091254753,641,89%,2013,NEURORADIOLOGY
Intracranial artery velocity measurement using 4D PC MRI at 3 T: comparison with transcranial ultras,23143179,5569,2.091254753,641,89%,2013,NEURORADIOLOGY
Solitaire AB stent-assisted coiling of wide-necked intracranial aneurysms: short-term results from a,24057085,5574,2.091254753,641,89%,2013,NEURORADIOLOGY
Differentiation of Hemorrhage from Iodinated Contrast in Different Intracranial Compartments Using D,22268092,2272,2.09,645,89%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
The Role of Preload and Leakage Correction in Gadolinium-Based Cerebral Blood Volume Estimation Dete,22322605,2279,2.09,645,89%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Individual Detection of Patients with Parkinson Disease using Support Vector Machine Analysis of Dif,22653326,2284,2.09,645,89%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Carotid Plaque Neovascularization and Hemorrhage Detected by MR Imaging are Associated with Recent C,22194363,2285,2.09,645,89%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Long-Term Follow-Up of 1036 Cerebral Aneurysms Treated by Bare Coils: A Multicentric Cohort Treated,19679641,1349,2.089552239,649,89%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Parenchymal abnormalities associated with developmental venous anomalies,17703296,4889,2.085308057,650,89%,2007,NEURORADIOLOGY
Diffusion-weighted imaging and proton MR spectroscopy in the characterization of acute disseminated,17131116,4898,2.085308057,650,89%,2007,NEURORADIOLOGY
Focal atrophy and cerebrovascular disease increase dementia risk among cognitively normal older adul,17441836,3721,2.083333333,652,89%,2007,JOURNAL OF NEUROIMAGING
Measuring Myelin Repair and Axonal Loss with Diffusion Tensor Imaging,20947644,1940,2.08,653,89%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Joubert Syndrome and Related Disorders: Spectrum of Neuroimaging Findings in 75 Patients,21680654,1944,2.08,653,89%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Brain Perfusion in Asphyxiated Newborns Treated with Therapeutic Hypothermia,21979494,1956,2.08,653,89%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Novel Y Stent Flow Diversion Technique for the Endovascular Treatment of Bifurcation Aneurysms witho,21527573,1968,2.08,653,89%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion tensor Imaging in patients with essential tremor,17921227,1056,2.071197411,657,89%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Can proton MR spectroscopic and perfusion imaging differentiate between neoplastic and nonneoplastic,18055564,1058,2.071197411,657,89%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Accuracy of the Alberta Stroke Program Early CT Score during the first 3 hours of middle cerebral ar,18272553,1059,2.071197411,657,89%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Monitoring of clopidogrel-related platelet inhibition: Correlation of nonresponse with clinical outc,18223094,1076,2.071197411,657,89%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Dissection of the extracranial vertebral artery: Clinical findings and early noninvasive diagnosis i,16483273,3671,2.065404475,661,89%,2006,JOURNAL OF NEUROIMAGING
Stroke patients with cardiac atrial septal abnormalities: Differential infarct patterns on DWI,17032383,3672,2.065404475,661,89%,2006,JOURNAL OF NEUROIMAGING
SWI or T2*: Which MRI Sequence to Use in the Detection of Cerebral Microbleeds? The Karolinska Imagi,25698623,3308,2.064896755,663,89%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Imaging the Intracranial Atherosclerotic Vessel Wall Using 7T MRI: Initial Comparison with Histopath,25477359,3313,2.064896755,663,89%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Brain MRI in neurodegeneration with brain iron accumulation with and without PANK2 mutations,16775270,391,2.063492063,665,89%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Early biomarkers from dynamic contrast-enhanced magnetic resonance imaging to predict the response t,26364181,5836,2.06185567,666,89%,2015,NEURORADIOLOGY
Disease-specific structural changes in thalamus and dentatorubrothalamic tract in progressive supran,26253801,5837,2.06185567,666,89%,2015,NEURORADIOLOGY
Diffusion tensor MR imaging of white matter integrity in HIV-positive patients with planning deficit,25604843,5838,2.06185567,666,89%,2015,NEURORADIOLOGY
CNS imaging findings associated with Parry-Romberg syndrome and en coup de sabre: correlation to der,25304124,5840,2.06185567,666,89%,2015,NEURORADIOLOGY
MR imaging correlates of survival in patients with high-grade gliomas,16286386,2,2.06,670,89%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Hemodynamic and permeability changes in posterior reversible encephalopathy syndrome measured by dyn,15814928,31,2.06,670,89%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Intraforaminal O-2-O-3 versus periradicular steroidal infiltrations in lower back pain: Randomized c,15891150,61,2.06,670,89%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Prediction of hemorrhagic transformation in acute ischemic stroke: Role of diffusion-weighted imagin,15891158,71,2.06,670,89%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Preliminary experience with Leo self-expanding stent for the treatment of intracranial aneurysms,16286403,86,2.06,670,89%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Intracranial arterial aneurysm vasculopathies: targeting the outer vessel wall,16136262,4522,2.054794521,675,89%,2005,NEURORADIOLOGY
Carotid bifurcation calcium and correlation with percent stenosis of the internal carotid artery on,15650832,4534,2.054794521,675,89%,2005,NEURORADIOLOGY
Advances in endovascular aneurysm treatment: are we making a difference?,16028035,4566,2.054794521,675,89%,2005,NEURORADIOLOGY
Discrimination between glioma grades II and III in suspected low-grade gliomas using dynamic contras,25204450,5713,2.05338809,678,89%,2014,NEURORADIOLOGY
Clinical experience with the pREset stent retriever for the treatment of acute ischemic stroke-a rev,24619135,5715,2.05338809,678,89%,2014,NEURORADIOLOGY
Adaptive statistical iterative reconstruction reduces patient radiation dose in neuroradiology CT st,24384672,5718,2.05338809,678,89%,2014,NEURORADIOLOGY
A Prospective Study of Fetuses with Isolated Ventriculomegaly Investigated by Antenatal Sonography a,19762458,1622,2.052370842,681,89%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Brain Arteriovenous Malformation Treatment Using a Combination of Onyx and a New Detachable Tip Micr,20190210,1631,2.052370842,681,89%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Transvenous Embolization of Dural Carotid Cavernous Fistulas: A Series of 44 Consecutive Patients,19959773,1632,2.052370842,681,89%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
