Title ,PMID,Point,MNCS,Rank,Percent,Year ,Journal
Toward Systems Neuroscience in Mild Cognitive Impairment and Alzheimer's Disease: A Meta-Analysis of,25411150,890,2.26,888,93%,2015,HUMAN BRAIN MAPPING
View-Centralized Multi-Atlas Classification for Alzheimer's Disease Diagnosis,25624081,891,2.26,888,93%,2015,HUMAN BRAIN MAPPING
Comparison of diffusion tractography and tract-tracing measures of connectivity strength in rhesus m,26058702,892,2.26,888,93%,2015,HUMAN BRAIN MAPPING
Reduced functional connectivity between V1 and inferior frontal cortex associated with visuomotor pe,15808991,893,2.26,888,93%,2005,NEUROIMAGE
Resting state fMRI reveals increased subthalamic nucleus-motor cortex connectivity in Parkinson's di,21255661,894,2.26,888,93%,2011,NEUROIMAGE
Brain functional integration decreases during propofol-induced loss of consciousness,21524704,895,2.26,888,93%,2011,NEUROIMAGE
"Parkinson's disease tremor-related metabolic network: Characterization, progression, and treatment e",20851193,896,2.26,888,93%,2011,NEUROIMAGE
Mean apparent propagator (MAP) MRI: A novel diffusion imaging method for mapping tissue microstructu,23587694,897,2.26,888,93%,2013,NEUROIMAGE
Making data sharing work: The FCP/INDI experience,23123682,898,2.26,888,93%,2013,NEUROIMAGE
Micro-compartment specific T*(2) relaxation in the brain,23528924,899,2.26,888,93%,2013,NEUROIMAGE
"Characterizing the normative profile of F-18-FDG PET brain imaging: Sex difference, aging effect, an",24262800,900,2.25375626,900,93%,2014,PSYCHIATRY RESEARCH-NEUROIMAGING
"Relationship between impulsivity, prefrontal anticipatory activation, and striatal dopamine release",24969539,901,2.25375626,900,93%,2014,PSYCHIATRY RESEARCH-NEUROIMAGING
An fMRI study of cognitive control in problem gamers,25670645,902,2.253521127,902,93%,2015,PSYCHIATRY RESEARCH-NEUROIMAGING
Spatiotemporal mapping of cortical activity accompanying voluntary movements using an event-related,16037985,903,2.25,903,93%,2006,HUMAN BRAIN MAPPING
Neural substrates for functionally discriminating self-face from personally familiar faces,16035037,904,2.25,903,93%,2006,HUMAN BRAIN MAPPING
"Functional MRI assessment of orofacial articulators: Neural correlates of lip, jaw, larynx, and tong",21826760,905,2.25,903,93%,2012,HUMAN BRAIN MAPPING
Functional brain connectivity at rest changes after working memory training,22076823,906,2.25,903,93%,2013,HUMAN BRAIN MAPPING
Fiber density asymmetry of the arcuate fasciculus in relation to functional hemispheric language lat,17320414,908,2.25,903,93%,2007,NEUROIMAGE
A computational modelling study of transcranial direct current stimulation montages used in depressi,24246487,909,2.25,903,93%,2014,NEUROIMAGE
Histology-derived volumetric annotation of the human hippocampal subfields in postmortem MRI,24036353,910,2.25,903,93%,2014,NEUROIMAGE
Focalised stimulation using high definition transcranial direct current stimulation (HD-tDCS) to inv,25987365,911,2.25,903,93%,2015,NEUROIMAGE
A diffusion tensor MRI atlas of the postmortem rhesus macaque brain,26037056,912,2.25,903,93%,2015,NEUROIMAGE
The effects of SIFT on the reproducibility and biological accuracy of the structural connectome,25312774,913,2.25,903,93%,2015,NEUROIMAGE
Salience network-midbrain dysconnectivity and blunted reward signals in schizophrenia,23146249,914,2.249637155,914,92%,2013,PSYCHIATRY RESEARCH-NEUROIMAGING
Reduced language lateralization in first-episode schizophrenia: An fMRI index of functional asymmetr,19185468,915,2.247191011,915,92%,2009,PSYCHIATRY RESEARCH-NEUROIMAGING
Reproducibility of graph metrics of human brain functional networks,19463959,916,2.24,916,92%,2009,NEUROIMAGE
Neuroticism modulates amygdala-prefrontal connectivity in response to negative emotional facial expr,19683585,917,2.24,916,92%,2010,NEUROIMAGE
"Comparison of physiological noise at 1.5 T, 3 T and 7 T and optimization of fMRI acquisition paramet",15862224,918,2.23,918,92%,2005,NEUROIMAGE
Anterior cingulate activity during error and autonomic response,15996878,919,2.23,918,92%,2005,NEUROIMAGE
Separating semantic conflict and response conflict in the Stroop task: A functional MRI study,15964208,920,2.23,918,92%,2005,NEUROIMAGE
Analyzing information flow in brain networks with nonparametric Granger causality,18394927,921,2.23,918,92%,2008,NEUROIMAGE
Reading normal and degraded words: Contribution of the dorsal and ventral visual pathways,18182174,922,2.23,918,92%,2008,NEUROIMAGE
Myelin water imaging of multiple sclerosis at 7 T: Correlations with histopathology,18321730,923,2.23,918,92%,2008,NEUROIMAGE
Self-paced movements induce high-frequency gamma oscillations in primary motor cortex,18511304,924,2.23,918,92%,2008,NEUROIMAGE
Automatic segmentation of brain MRIs of 2-year-olds into 83 regions of interest,18234511,925,2.23,918,92%,2008,NEUROIMAGE
Gastric distention activates satiety circuitry in the human brain,18155924,926,2.23,918,92%,2008,NEUROIMAGE
Neural correlates of voluntary and involuntary risk taking in the human brain: An fMRI Study of the,18582578,927,2.23,918,92%,2008,NEUROIMAGE
Introducing graph theory to track for neuroplastic alterations in the resting human brain: A transcr,20932916,928,2.23,918,92%,2011,NEUROIMAGE
Grey matter alterations associated with cannabis use: Results of a VBM study in heavy cannabis users,21982932,929,2.23,918,92%,2012,NEUROIMAGE
Quantitative measurement of cerebral physiology using respiratory-calibrated MRI,22209811,930,2.23,918,92%,2012,NEUROIMAGE
"Relationships between years of education and gray matter volume, metabolism and functional connectiv",23796547,931,2.23,918,92%,2013,NEUROIMAGE
Variation in longitudinal trajectories of regional brain volumes of healthy men and women (ages 10 t,23063452,932,2.23,918,92%,2013,NEUROIMAGE
Identification of reproducible individualized targets for treatment of depression with TMS based on,23142067,933,2.23,918,92%,2013,NEUROIMAGE
Measuring iron in the brain using quantitative susceptibility mapping and X-ray fluorescence imaging,23591072,934,2.23,918,92%,2013,NEUROIMAGE
Unbiased tensor-based morphometry: Improved robustness and sample size estimates for Alzheimer's dis,23153970,935,2.23,918,92%,2013,NEUROIMAGE
Regional cortical thinning in patients with major depressive disorder: A surface-based morphometry s,22521631,936,2.220630372,936,92%,2012,PSYCHIATRY RESEARCH-NEUROIMAGING
Abnormal Regional Spontaneous Neural Activity in Treatment-Refractory Depression Revealed by Resting,20665717,937,2.22,937,92%,2011,HUMAN BRAIN MAPPING
Microglial activation in regions related to cognitive function predicts disease onset in Huntington',21229614,938,2.22,937,92%,2011,HUMAN BRAIN MAPPING
Rich club organization supports a diverse set of functional network configurations,24699017,939,2.22,937,92%,2014,NEUROIMAGE
Automatic clustering of white matter fibers in brain diffusion MRI with an application to genetics,24821529,940,2.22,937,92%,2014,NEUROIMAGE
Cognitive status correlates with white matter alteration in Parkinson's disease,21495116,941,2.21,941,92%,2012,HUMAN BRAIN MAPPING
Identifying the default-mode component in spatial IC analyses of patients with disorders of consciou,21484953,942,2.21,941,92%,2012,HUMAN BRAIN MAPPING
An unbiased iterative group registration template for cortical surface analysis,17188895,943,2.21,941,92%,2007,NEUROIMAGE
Multi-level block permutation,26074200,944,2.21,941,92%,2015,NEUROIMAGE
Dissociation of response inhibition and performance monitoring in the stop signal task using event-r,17274022,945,2.2,945,92%,2007,HUMAN BRAIN MAPPING
Structural Brain Network Imaging Shows Expanding Disconnection of the Motor System in Amyotrophic La,23450820,946,2.2,945,92%,2014,HUMAN BRAIN MAPPING
An Independent Components and Functional Connectivity Analysis of Resting State FMRI Data Points to,23417778,947,2.2,945,92%,2014,HUMAN BRAIN MAPPING
Classifying brain states and determining the discriminating activation patterns: Support Vector Mach,16275139,948,2.2,945,92%,2005,NEUROIMAGE
Atlas-based hippocampus segmentation in Alzheimer's disease and mild cognitive impairment,15990339,949,2.2,945,92%,2005,NEUROIMAGE
Impaired self-awareness and theory of mind: An fMRI study of mentalizing in alexithymia,16798016,950,2.2,945,92%,2006,NEUROIMAGE
Does diffusion kurtosis imaging lead to better neural tissue characterization? A rodent brain matura,19150655,951,2.2,945,92%,2009,NEUROIMAGE
Social cognition and the anterior temporal lobes,19931397,952,2.2,945,92%,2010,NEUROIMAGE
Structural and cognitive deficits in remitting and non-remitting recurrent depression: A voxel-based,19931620,953,2.2,945,92%,2010,NEUROIMAGE
Nicotine replacement in abstinent smokers improves cognitive withdrawal symptoms with modulation of,20441798,954,2.2,945,92%,2010,NEUROIMAGE
Focused ultrasound modulates region-specific brain activity,21354315,955,2.2,945,92%,2011,NEUROIMAGE
Enriched white matter connectivity networks for accurate identification of MCI patients,20970508,956,2.2,945,92%,2011,NEUROIMAGE
The contribution of myelin to magnetic susceptibility-weighted contrasts in high-field MRI of the br,22056461,957,2.2,945,92%,2012,NEUROIMAGE
Loss of White Matter Integrity in Major Depressive Disorder: Evidence Using Tract-Based Spatial Stat,21170955,958,2.19,958,92%,2011,HUMAN BRAIN MAPPING
Granger Causal Influence Predicts BOLD Activity Levels in the Default Mode Network,21157880,959,2.19,958,92%,2011,HUMAN BRAIN MAPPING
Transient and linearly graded deactivation of the human default-mode network by a visual detection t,18375149,960,2.19,958,92%,2008,NEUROIMAGE
Time-frequency mixed-norm estimates: Sparse M/EEG imaging with non-stationary source activations,23291276,961,2.19,958,92%,2013,NEUROIMAGE
Altered anterior insula activation during anticipation and experience of painful stimuli in expert m,23000783,962,2.19,958,92%,2013,NEUROIMAGE
Tackling the multifunctional nature of Broca's region meta-analytically: Co-activation-based parcell,23791915,963,2.19,958,92%,2013,NEUROIMAGE
Prefrontal subregions and dimensions of insight in first-episode schizophrenia - A pilot study,16361089,964,2.186495177,964,92%,2006,PSYCHIATRY RESEARCH-NEUROIMAGING
White-Matter Abnormalities in Attention Deficit Hyperactivity Disorder: A Diffusion Tensor Imaging S,22703620,965,2.18,965,92%,2009,HUMAN BRAIN MAPPING
Regional Brain Activation Changes and Abnormal Functional Connectivity of the Ventrolateral Prefront,19107748,966,2.18,965,92%,2009,HUMAN BRAIN MAPPING
Creating metaphors: The neural basis of figurative language production,24384149,967,2.18,965,92%,2014,NEUROIMAGE
Contributions of the cerebellum and the motor cortex to acquisition and retention of motor memories,24816533,968,2.18,965,92%,2014,NEUROIMAGE
Brain maturation in adolescence: Concurrent changes in neuroanatomy and neurophysiology,16767769,969,2.17,969,92%,2007,HUMAN BRAIN MAPPING
Individual variability in the shape and amplitude of the BOLD-HRF correlates with endogenous GABAerg,21416560,970,2.17,969,92%,2012,HUMAN BRAIN MAPPING
Neural correlates of tinnitus duration and Distress: A positron emission tomography study,22021023,971,2.17,969,92%,2013,HUMAN BRAIN MAPPING
Abnormal salience network in normal aging and in amnestic mild cognitive impairment and Alzheimer's,24222384,972,2.17,969,92%,2014,HUMAN BRAIN MAPPING
Towards a functional atlas of human white matter,25959791,973,2.17,969,92%,2015,HUMAN BRAIN MAPPING
Finding the self by losing the self: Neural correlates of ego-dissolution under psilocybin,26010878,974,2.17,969,92%,2015,HUMAN BRAIN MAPPING
Track-density imaging (TDI): Super-resolution white matter imaging using whole-brain track-density m,27355897,975,2.17,969,92%,2010,NEUROIMAGE
Atlas-guided tract reconstruction for automated and comprehensive examination of the white matter an,20570617,976,2.17,969,92%,2010,NEUROIMAGE
Quantitative prediction of subjective pain intensity from whole-brain fMRI data using Gaussian proce,19879364,977,2.17,969,92%,2010,NEUROIMAGE
Effect of hemodynamic variability on Granger causality analysis of fMRI,20004248,978,2.17,969,92%,2010,NEUROIMAGE
Genetics of microstructure of cerebral white matter using diffusion tensor imaging,20117221,979,2.17,969,92%,2010,NEUROIMAGE
How the brain tissue shapes the electric field induced by transcranial magnetic stimulation,21749927,980,2.17,969,92%,2011,NEUROIMAGE
Discriminating schizophrenia and bipolar disorder by fusing fMRI and DTI in a multimodal CCA plus jo,21640835,981,2.17,969,92%,2011,NEUROIMAGE
Real-time support vector classification and feedback of multiple emotional brain states,20692351,982,2.17,969,92%,2011,NEUROIMAGE
"Mechanisms of blast induced brain injuries, experimental studies in rats",20493951,983,2.17,969,92%,2011,NEUROIMAGE
Dynamic reorganization of brain functional networks during cognition,25828884,984,2.17,969,92%,2015,NEUROIMAGE
Real-time EEG feedback during simultaneous EEG-fMRI identifies the cortical signature of motor image,25887263,985,2.17,969,92%,2015,NEUROIMAGE
Reduced amygdala-orbitofrontal connectivity during moral judgments in youths with disruptive behavio,22047730,986,2.167019027,986,92%,2011,PSYCHIATRY RESEARCH-NEUROIMAGING
Common and unique components of response inhibition revealed by fMRI,16019232,987,2.16,987,92%,2005,NEUROIMAGE
Preclinical detection of Alzheimer's disease: hippocampal shape and volume predict dementia onset in,15808979,988,2.16,987,92%,2005,NEUROIMAGE
Magnetoencephalographic evaluation of resting-state functional connectivity in Alzheimer's disease,16815039,989,2.16,987,92%,2006,NEUROIMAGE
Correlating the alpha rhythm to BOLD using simultaneous EEG/fMRI: Inter-subject variability,16290018,990,2.16,987,92%,2006,NEUROIMAGE
Assessing and improving the spatial accuracy in MEG source localization by depth-weighted minimum-no,16520063,991,2.16,987,92%,2006,NEUROIMAGE
"Thoughts, behaviour, and brain dynamics during navigation in the real world",16584892,992,2.16,987,92%,2006,NEUROIMAGE
Detection of cortical thickness correlates of cognitive performance: Reliability across MRI scan ses,17942325,993,2.16,987,92%,2008,NEUROIMAGE
Is emotional contagion special? An fMRI study on neural systems for affective and cognitive empathy,18790065,994,2.16,987,92%,2008,NEUROIMAGE
The perception of pain in others suppresses somatosensory oscillations: A magnetoencephalography stu,18353686,995,2.16,987,92%,2008,NEUROIMAGE
Measuring structural-functional correspondence: Spatial variability of specialised brain regions aft,21875671,996,2.16,987,92%,2012,NEUROIMAGE
Dissociable large-scale networks anchored in the right anterior insula subserve affective experience,22361166,997,2.16,987,92%,2012,NEUROIMAGE
Posteromedial cortex glutamate and GABA predict intrinsic functional connectivity of the default mod,23000786,998,2.16,987,92%,2013,NEUROIMAGE
Aberrant functional connectivity of resting state networks associated with trait anxiety,26385540,999,2.159624413,999,92%,2015,PSYCHIATRY RESEARCH-NEUROIMAGING
Reduced age-related degeneration of the hippocampal subiculum in long-term meditators,25907419,1000,2.159624413,999,92%,2015,PSYCHIATRY RESEARCH-NEUROIMAGING
Corpus callosum size and diffusion tensor anisotropy in adolescents and adults with schizophrenia,25637358,1001,2.159624413,999,92%,2015,PSYCHIATRY RESEARCH-NEUROIMAGING
Model-Free Group Analysis Shows Altered BOLD FMRI Networks in Dementia,18041738,1002,2.15,1002,92%,2009,HUMAN BRAIN MAPPING
Network Analysis of Resting State EEG in the Developing Young Brain: Structure Comes With Maturation,20589941,1003,2.15,1002,92%,2011,HUMAN BRAIN MAPPING
Morphometry of anatomical shape complexes with dense deformations and sparse parameters,24973601,1004,2.15,1002,92%,2014,NEUROIMAGE
Oral contraceptive pill use and menstrual cycle phase are associated with altered resting state func,24365676,1005,2.15,1002,92%,2014,NEUROIMAGE
tDCS-induced alterations in GABA concentration within primary motor cortex predict motor learning an,24904994,1006,2.15,1002,92%,2014,NEUROIMAGE
Robust cortical entrainment to the speech envelope relies on the spectro-temporal fine structure,24188816,1007,2.15,1002,92%,2014,NEUROIMAGE
Quantitative evaluation of deep and shallow tissue layers' contribution to fNIRS signal using multi-,23439443,1008,2.15,1002,92%,2014,NEUROIMAGE
Connectivity trajectory across lifespan differentiates the precuneus from the default network,24287438,1009,2.15,1002,92%,2014,NEUROIMAGE
Tract-specific analysis of white matter integrity disruption in schizophrenia,22398298,1010,2.148997135,1010,92%,2012,PSYCHIATRY RESEARCH-NEUROIMAGING
Negative BOLD responses to epileptic spikes,16180210,1011,2.14,1011,92%,2006,HUMAN BRAIN MAPPING
Domain general and domain preferential brain regions associated with different types of task switchi,21391260,1012,2.14,1011,92%,2012,HUMAN BRAIN MAPPING
Gender differences in brain functional connectivity density,21425398,1013,2.14,1011,92%,2012,HUMAN BRAIN MAPPING
Audiovisual integration of emotional signals in voice and face: An event-related fMRI study,17659885,1014,2.14,1011,92%,2007,NEUROIMAGE
When thoughts become action: An fMRI paradigm to study volitional brain activity in non-communicativ,17509898,1015,2.14,1011,92%,2007,NEUROIMAGE
Quantitative diffusion tensor imaging in amyotrophic lateral sclerosis,17097892,1016,2.14,1011,92%,2007,NEUROIMAGE
Multivariate deformation-based analysis of brain atrophy to predict Alzheimer's disease in mild cogn,17827035,1017,2.14,1011,92%,2007,NEUROIMAGE
Abnormalities of language networks in temporal lobe epilepsy,17400477,1018,2.14,1011,92%,2007,NEUROIMAGE
"Mapping sources of correlation in resting state FMRI, with artifact detection and removal",20420926,1019,2.14,1011,92%,2010,NEUROIMAGE
Functional near infrared spectroscopy (NIRS) signal improvement based on negative correlation betwee,19945536,1020,2.14,1011,92%,2010,NEUROIMAGE
Topological FDR for neuroimaging,19944173,1021,2.14,1011,92%,2010,NEUROIMAGE
Sparse logistic regression for whole-brain classification of fMRI data,20188193,1022,2.14,1011,92%,2010,NEUROIMAGE
Identification of amyloid plaques in retinas from Alzheimer's patients and noninvasive in vivo optic,20550967,1023,2.14,1011,92%,2011,NEUROIMAGE
High-field (9.4 T) MRI of brain dysmyelination by quantitative mapping of magnetic susceptibility,21320606,1024,2.14,1011,92%,2011,NEUROIMAGE
Factors underlying prefrontal and insula structural alterations in smokers,20699124,1025,2.14,1011,92%,2011,NEUROIMAGE
Diffusion weighted imaging distinguishes the vegetative state from the minimally conscious state,20728553,1026,2.14,1011,92%,2011,NEUROIMAGE
Cognitive state and connectivity effects of the genome-wide significant psychosis variant in ZNF804A,20946959,1027,2.14,1011,92%,2011,NEUROIMAGE
Cerebellar vermal volumes and behavioral correlates in children with autism spectrum disorder,19243924,1028,2.134831461,1028,92%,2009,PSYCHIATRY RESEARCH-NEUROIMAGING
Separate brain regions code for salience vs. valence during reward prediction in humans,16779798,1029,2.13,1029,91%,2007,HUMAN BRAIN MAPPING
Hippocampal Atrophy Patterns in Mild Cognitive Impairment and Alzheimer's Disease,20839293,1030,2.13,1029,91%,2010,HUMAN BRAIN MAPPING
Effects of Chronic Mild Traumatic Brain Injury on White Matter Integrity in Iraq and Afghanistan War,22706988,1031,2.13,1029,91%,2013,HUMAN BRAIN MAPPING
Efficiency of Weak Brain Connections Support General Cognitive Functioning,24585433,1032,2.13,1029,91%,2014,HUMAN BRAIN MAPPING
Neural Substrates of Approach-Avoidance Conflict Decision-Making,25224633,1033,2.13,1029,91%,2015,HUMAN BRAIN MAPPING
The rewards of music listening: Response and physiological connectivity of the mesolimbic system,16023376,1034,2.13,1029,91%,2005,NEUROIMAGE
"Language in context: emergent features of word, sentence, and narrative comprehension",15809000,1035,2.13,1029,91%,2005,NEUROIMAGE
Activity in the human brain predicting differential heart rate responses to emotional facial express,15652310,1036,2.13,1029,91%,2005,NEUROIMAGE
TDCS guided using fMRI significantly accelerates learning to identify concealed objects,21094258,1037,2.13,1029,91%,2012,NEUROIMAGE
"A dual-subsystem model of the brain's default network: Self-referential processing, memory retrieval",22446489,1038,2.13,1029,91%,2012,NEUROIMAGE
Dynamic causal modeling with neural fields,21924363,1039,2.13,1029,91%,2012,NEUROIMAGE
Dynamic resting state functional connectivity in awake and anesthetized rodents,25315787,1040,2.13,1029,91%,2015,NEUROIMAGE
Common and distinct neural correlates of personal and vicarious reward: A quantitative meta-analysis,25554428,1041,2.13,1029,91%,2015,NEUROIMAGE
BOLD fractional contribution to resting-state functional connectivity above 0.1 Hz,25497686,1042,2.13,1029,91%,2015,NEUROIMAGE
A DCM study of spectral asymmetries in feedforward and feedback connections between visual areas V1,25585017,1043,2.13,1029,91%,2015,NEUROIMAGE
Hierarchical multi-atlas label fusion with multi-scale feature representation and label-specific pat,25463474,1044,2.13,1029,91%,2015,NEUROIMAGE
Basal ganglia volumes in drug-naive first-episode schizophrenia patients before and after short-tenn,17360162,1045,2.123995408,1045,91%,2007,PSYCHIATRY RESEARCH-NEUROIMAGING
Regional change in brain morphometry in schizophrenia associated with antipsychotic treatment,17097276,1046,2.122186495,1046,91%,2006,PSYCHIATRY RESEARCH-NEUROIMAGING
Diffusion tensor imaging of time-dependent axonal and myelin degradation after corpus callosotomy in,16765064,1047,2.12,1047,91%,2006,NEUROIMAGE
Faces are represented holistically in the human occipito-temporal cortex,16870475,1048,2.12,1047,91%,2006,NEUROIMAGE
Brain anatomy differences in childhood stuttering,18023366,1049,2.12,1047,91%,2008,NEUROIMAGE
Resting state network estimation in individual subjects,23735260,1050,2.12,1047,91%,2013,NEUROIMAGE
Multicentre variability of MRI-based medial temporal lobe volumetry in Alzheimer's disease,20493672,1051,2.118644068,1051,91%,2010,PSYCHIATRY RESEARCH-NEUROIMAGING
The Influence of Ageing on Complex Brain Networks: A Graph Theoretical Analysis,17990300,1053,2.11,1052,91%,2009,HUMAN BRAIN MAPPING
Regional Gray Matter Density Associated With Emotional Intelligence: Evidence From Voxel-Based Morph,20740644,1054,2.11,1052,91%,2011,HUMAN BRAIN MAPPING
Spontaneous brain activity and EEG microstates. A novel EEG/fMRI analysis approach to explore restin,20139014,1055,2.11,1052,91%,2010,NEUROIMAGE
MR-elastography reveals degradation of tissue integrity in multiple sclerosis,19539039,1056,2.11,1052,91%,2010,NEUROIMAGE
Spatiotemporal imaging of cortical activation during verb generation and picture naming,20026224,1057,2.11,1052,91%,2010,NEUROIMAGE
Applications of multivariate modeling to neuroimaging group analysis: A comprehensive alternative to,24954281,1058,2.11,1052,91%,2014,NEUROIMAGE
Test-retest reliability of structural brain networks from diffusion MRI,24096127,1059,2.11,1052,91%,2014,NEUROIMAGE
Functional differences in emotion processing during adolescence and early adulthood,24468408,1060,2.11,1052,91%,2014,NEUROIMAGE
Resting state fMRI entropy probes complexity of brain activity in adults with ADHD,24183857,1061,2.104499274,1061,91%,2013,PSYCHIATRY RESEARCH-NEUROIMAGING
Robotic movement preferentially engages the action observation network,21898675,1062,2.1,1062,91%,2012,HUMAN BRAIN MAPPING
Alterations in Amplitude of Low Frequency Fluctuation in Treatment-Naive Major Depressive Disorder M,24740815,1064,2.1,1062,91%,2014,HUMAN BRAIN MAPPING
The role of dysfunctional attentional control networks in visual misperceptions in Parkinson's disea,23760982,1065,2.1,1062,91%,2014,HUMAN BRAIN MAPPING
Somatotopic organisation of the human insula to painful heat studied with high resolution functional,15921935,1066,2.1,1062,91%,2005,NEUROIMAGE
An adaptive reflexive processing model of neurocognitive function: supporting evidence from a large,15808990,1067,2.1,1062,91%,2005,NEUROIMAGE
Accelerated maturation of white matter in young children with autism: A high b value DWI study,17566764,1068,2.1,1062,91%,2007,NEUROIMAGE
Automatic segmentation of newborn brain MRI,19409502,1069,2.1,1062,91%,2009,NEUROIMAGE
Cognitive profile and brain morphological changes in obstructive sleep apnea,20888921,1070,2.1,1062,91%,2011,NEUROIMAGE
Specialization of right temporo-parietal junction for mentalizing and its relation to social impairm,21356316,1071,2.1,1062,91%,2011,NEUROIMAGE
Specialization for written words over objects in the visual cortex,21296170,1072,2.1,1062,91%,2011,NEUROIMAGE
"Nanoplatforms for constructing new approaches to cancer treatment, imaging, and drug delivery: What",20149882,1073,2.1,1062,91%,2011,NEUROIMAGE
Diffuse and spatially variable white matter disruptions are associated with blast-related mild traum,22040736,1074,2.1,1062,91%,2012,NEUROIMAGE
Edited magnetic resonance spectroscopy detects an age-related decline in brain GABA levels,27660760,1075,2.09,1075,91%,2013,NEUROIMAGE
The effects of poor quality sleep on brain function and risk taking in adolescence,23376698,1076,2.09,1075,91%,2013,NEUROIMAGE
Successful memory encoding is associated with increased cross-frequency coupling between frontal the,23142278,1077,2.09,1075,91%,2013,NEUROIMAGE
Distinct brain mechanisms for conscious versus subliminal error detection,23380166,1078,2.09,1075,91%,2013,NEUROIMAGE
Neurite orientation dispersion and density imaging of the healthy cervical spinal cord in vivo,25652391,1079,2.09,1075,91%,2015,NEUROIMAGE
Basal ganglia and thalamic morphology in schizophrenia and bipolar disorder,24957866,1080,2.086811352,1080,91%,2014,PSYCHIATRY RESEARCH-NEUROIMAGING
Abnormal cingulum bundle development in autism: A probabilistic tractography study,24231056,1081,2.086811352,1080,91%,2014,PSYCHIATRY RESEARCH-NEUROIMAGING
Whole cortical and default mode network mean functional connectivity as potential biomarkers for mil,24268581,1082,2.086811352,1080,91%,2014,PSYCHIATRY RESEARCH-NEUROIMAGING
Functional Connectivity of Cortical Motor Areas in the Resting State in Parkinson's Disease,20740649,1083,2.08,1083,91%,2011,HUMAN BRAIN MAPPING
Modeling of the Human Skull in EEG Source Analysis,20740649,1084,2.08,1083,91%,2011,HUMAN BRAIN MAPPING
Assessment of the early organization and maturation of infants' cerebral white matter fiber bundles:,16413790,1085,2.08,1083,91%,2006,NEUROIMAGE
Shared and distinct neural correlates of singing and speaking,16956772,1086,2.08,1083,91%,2006,NEUROIMAGE
Diffusion tensor imaging of normal white matter maturation from late childhood to young adulthood: V,18395471,1087,2.08,1083,91%,2008,NEUROIMAGE
Valence and salience contribute to nucleus accumbens activation,17904386,1088,2.08,1083,91%,2008,NEUROIMAGE
Functional neuroanatomical networks associated with expertise in motor imagery,18479943,1089,2.08,1083,91%,2008,NEUROIMAGE
A topology-preserving approach to the segmentation of brain images with multiple sclerosis lesions,19766196,1090,2.08,1083,91%,2010,NEUROIMAGE
Distinct profiles of brain atrophy in frontotemporal lobar degeneration caused by progranulin and ta,20045477,1091,2.08,1083,91%,2010,NEUROIMAGE
Effects of aging on default mode network activity in resting state fMRI: Does the method of analysis,20004726,1092,2.08,1083,91%,2010,NEUROIMAGE
Reward dysfunction in major depression: Multimodal neuroimaging evidence for refining the melancholi,24996119,1093,2.08,1083,91%,2014,NEUROIMAGE
Cortical effects of user training in a motor imagery based brain-computer interface measured by fNIR,23651839,1094,2.08,1083,91%,2014,NEUROIMAGE
Altered topological patterns of brain networks in mild cognitive impairment and Alzheimer's disease:,22695315,1095,2.077363897,1095,91%,2012,PSYCHIATRY RESEARCH-NEUROIMAGING
Diffusion tensor imaging reveals white matter abnormalities in Attention-Deficit/Hyperactivity Disor,22703620,1096,2.077363897,1095,91%,2012,PSYCHIATRY RESEARCH-NEUROIMAGING
"Neural correlates of interference inhibition, action withholding and action cancelation in adult ADH",22475505,1097,2.077363897,1095,91%,2012,PSYCHIATRY RESEARCH-NEUROIMAGING
Test-retest and between-site reliability in a multicenter fMRI study,17636563,1098,2.07,1098,91%,2008,HUMAN BRAIN MAPPING
Resting state sensorimotor functional connectivity in multiple sclerosis inversely correlates with t,18438889,1099,2.07,1098,91%,2008,HUMAN BRAIN MAPPING
At the Heart of the Ventral Attention System: The Right Anterior Insula,19072895,1100,2.07,1098,91%,2009,HUMAN BRAIN MAPPING
Evaluation of Automated Brain MR Image Segmentation and Volumetry Methods,18537111,1101,2.07,1098,91%,2009,HUMAN BRAIN MAPPING
Exploring the Relationship Between White Matter and Gray Matter Damage in Early Primary Progressive,19172648,1102,2.07,1098,91%,2009,HUMAN BRAIN MAPPING
Self-referential reflective activity and its relationship with rest: a PET study,15784441,1103,2.07,1098,91%,2005,NEUROIMAGE
Cognitive control and brain resources in major depression: An fMRI study using the n-back task,15955496,1104,2.07,1098,91%,2005,NEUROIMAGE
Neural correlates of semantic and behavioural deficits in frontotemporal dementia,15670681,1105,2.07,1098,91%,2005,NEUROIMAGE
Individual differences in mathematical competence predict parietal brain activation during mental ca,17851092,1106,2.07,1098,91%,2007,NEUROIMAGE
Mapping brain structure in attention deficit-hyperactivity disorder: A voxel-based MRI study of regi,17291727,1107,2.066590126,1107,91%,2007,PSYCHIATRY RESEARCH-NEUROIMAGING
Deep grey matter MRI abnormalities and cognitive function in relapsing-remitting multiple sclerosis,26602610,1108,2.0657277,1108,91%,2015,PSYCHIATRY RESEARCH-NEUROIMAGING
Clinical high risk and first episode schizophrenia: Auditory event-related potentials,25557063,1109,2.0657277,1108,91%,2015,PSYCHIATRY RESEARCH-NEUROIMAGING
Whiter matter abnormalities in medication-naive subjects with a single short-duration episode of maj,21145709,1110,2.061310782,1110,91%,2011,PSYCHIATRY RESEARCH-NEUROIMAGING
Resting State and Task-induced Deactivation: A Methodological Comparison in Patients with Schizophre,19777578,1111,2.06,1111,91%,2010,HUMAN BRAIN MAPPING
